Watershed,Location,lat,lon
Love Creek Watershed,Holston Dr at I-40,36.008555,-83.838717
First Creek,Adair Drive,36.02508,-83.92761
Fourth Creek,S Northshore Dr at Walden Dr,35.929747,-84.00041
Williams Creek,Williams Creek at Dandridge Avenue,35.970541,-83.881903
First Creek,E 5th Ave and Jessamine St,35.977256,-83.914012
Third Creek,Tyson Park,35.954275,-83.946854
TN River,McGhee Tyson Airport,35.80963,-83.99153
